Index,Year,Month,Wages
1,1981,Jul,7.75
2,1981,Aug,7.74
3,1981,Sep,7.87
4,1981,Oct,7.89
5,1981,Nov,7.94
6,1981,Dec,8
7,1982,Jan,8.17
8,1982,Feb,8.1
9,1982,Mar,8.13
10,1982,Apr,8.19
11,1982,May,8.22
12,1982,Jun,8.25
13,1982,Jul,8.31
14,1982,Aug,8.26
15,1982,Sep,8.33
16,1982,Oct,8.31
17,1982,Nov,8.36
18,1982,Dec,8.42
19,1983,Jan,8.46
20,1983,Feb,8.5
21,1983,Mar,8.47
22,1983,Apr,8.48
23,1983,May,8.49
24,1983,Jun,8.49
25,1983,Jul,8.53
26,1983,Aug,8.44
27,1983,Sep,8.52
28,1983,Oct,8.54
29,1983,Nov,8.61
30,1983,Dec,8.67
31,1984,Jan,8.72
32,1984,Feb,8.7
33,1984,Mar,8.73
34,1984,Apr,8.75
35,1984,May,8.76
36,1984,Jun,8.77
37,1984,Jul,8.83
38,1984,Aug,8.78
39,1984,Sep,8.85
40,1984,Oct,8.87
41,1984,Nov,8.93
42,1984,Dec,9
43,1985,Jan,9.07
44,1985,Feb,9.07
45,1985,Mar,9.09
46,1985,Apr,9.13
47,1985,May,9.13
48,1985,Jun,9.13
49,1985,Jul,9.19
50,1985,Aug,9.12
51,1985,Sep,9.16
52,1985,Oct,9.17
53,1985,Nov,9.23
54,1985,Dec,9.31
55,1986,Jan,9.31
56,1986,Feb,9.33
57,1986,Mar,9.33
58,1986,Apr,9.33
59,1986,May,9.34
60,1986,Jun,9.32
61,1986,Jul,9.35
62,1986,Aug,9.27
63,1986,Sep,9.31
64,1986,Oct,9.32
65,1986,Nov,9.37
66,1986,Dec,9.42
67,1987,Jan,9.44
68,1987,Feb,9.44
69,1987,Mar,9.44
70,1987,Apr,9.48
71,1987,May,9.45
72,1987,Jun,9.44
